% Model,Aluminum Disk 24cm Separation (Save).mph
% Version,COMSOL 4.4.0.195
% Date,"Aug 4 2015, 11:50"
% Dimension,1
% Nodes,1001
% Expressions,1
% Description,Point graph
% X,Height
0,-0.07778966620015958
24.999999999999996,-0.07778966620015958
49.99999999999999,-0.6779811512399263
75,-2.755003473068073
99.99999999999999,-6.927761895151349
125,-13.354588193792623
150,-25.995710447288694
175,-55.17376004532899
199.99999999999997,-106.06227618781585
225,-163.05889474777553
250,-195.82152848327763
274.99999999999994,-185.22283279963074
300,-140.90904482306223
325,-91.70012259050748
350,-56.91981448631418
375,-31.503044925688073
399.99999999999994,-3.7634926371595157
425,25.01882138207725
450,48.492522165857395
475,67.42230703158737
500,83.01584576524067
525,89.40981908705317
549.9999999999999,79.10802029276442
575,49.354953028405816
600,3.867341014235876
625,-45.51404628924911
650,-81.04512206927734
674.9999999999999,-88.8687546889654
700,-68.42853693611949
725,-32.358702181670196
750,2.9725618692402804
775,28.336400518566847
799.9999999999999,44.8897783995551
825,58.03578564333486
850,69.75814115856406
874.9999999999999,77.33211819567464
900,77.20369271163065
924.9999999999999,67.56537125195234
950,47.54522127392471
975,16.793427962881196
1000,-22.011918385992942
1024.9999999999998,-60.81738752813641
1050,-88.29352645603126
1075,-95.82277467896972
1099.9999999999998,-82.51062826430189
1125,-55.23535925397766
1150,-23.861961903979136
1175,4.604076200520922
1200,28.420415197576858
1225,48.8022780146315
1250,65.92786136604104
1274.9999999999998,77.11608638955045
1300,78.31149429871539
1325,66.82148695299259
1349.9999999999998,42.66448078128491
1375,8.552144229365865
1400,-29.91453185250839
1424.9999999999998,-64.4479951539223
1450,-86.35110178729155
1475,-90.04737565500011
1500,-75.53590247776765
1524.9999999999998,-48.4216717087603
1550,-17.232157591933287
1575,10.820390838013168
1599.9999999999998,32.714012243359775
1625,49.04378479089746
1650,61.10399774107066
1674.9999999999998,68.43529883989947
1700,68.55016006225242
1725,58.58754340562268
1749.9999999999998,37.47583880404068
1774.9999999999998,7.240253744531799
1800,-27.014327297929697
1825,-58.195112240867275
1849.9999999999998,-79.07356067076557
1875,-84.56397553344198
1900,-73.6466039122339
1924.9999999999998,-49.826066618195
1950,-19.58850210657181
1974.9999999999998,10.37408051024363
2000,35.488308118489385
2025,53.8644908962284
2049.9999999999995,65.16515251843805
2075,69.03610745903563
2100,64.46174082070706
2124.9999999999995,50.474999766910855
2150,27.538066773469325
2175,-1.5224938359834823
2199.9999999999995,-31.70590527321923
2225,-57.05825151119461
2250,-72.34711935851362
2275,-74.56654300901141
2300,-63.78464739445451
2325,-43.00739666022025
2350,-17.03275496223239
2375,9.241264575074638
2400,32.20840627159089
2425,49.93061632317426
2450,61.46806522511713
2474.9999999999995,65.88661414930732
2500,61.87553805383743
2525,48.38421902589164
2549.9999999999995,25.853604567408922
2575,-2.868940389807051
2600,-32.65805842528363
2624.9999999999995,-57.363511454874356
2650,-71.64739807027422
2675,-72.61477701292313
2699.9999999999995,-60.601798299223674
2725,-38.87185763061291
2750,-12.400304667234195
2774.9999999999995,13.7275044528443
2800,35.63432858966894
2825,51.17021544747729
2849.9999999999995,59.56045752348291
2875,60.61691459839551
2900,54.18011244797924
2925,40.23042732684905
2950,19.567026346423745
2975,-5.502551216316874
3000,-31.067025277041125
3025,-52.34726126474038
3049.9999999999995,-64.99843016648435
3075,-66.40406916002189
3100,-56.41668166169222
3124.9999999999995,-37.28845205251139
3150,-12.895840908868081
3175,12.373785788653777
3199.9999999999995,34.626046772905056
3225,51.02640495256628
3250,59.86420191946502
3274.9999999999995,60.32253081257579
3300,52.29051955039097
3325,36.44514033666667
3349.9999999999995,14.547287817560687
3375,-10.358488801213753
3400,-34.18298299604055
3424.9999999999995,-52.58076862208486
3450,-62.056453574574334
3475,-60.93479123588736
3499.9999999999995,-49.7789431115109
3525,-31.10400777366283
3549.9999999999995,-8.55480219174558
3575,14.07631593737915
3600,33.61020818334816
3624.9999999999995,47.80993204717845
3650,55.31376401258774
3675,55.403637022938824
3699.9999999999995,47.88664500176469
3725,33.238901914947746
3750,12.92936485202597
3774.9999999999995,-10.351967771472118
3800,-32.85958626511683
3825,-50.4689628101371
3849.9999999999995,-59.69600312795728
3875,-58.67399794205096
3900,-47.68594039166851
3924.9999999999995,-29.043039919227454
3949.9999999999995,-6.388949342153978
3975.0000000000005,16.263878773478268
4000,35.40025730095658
4025,48.51923866042819
4050,54.2558175147916
4074.9999999999995,52.24409477569657
4099.999999999999,42.931563639474575
4125,27.493843569810565
4150,7.8538558234128
4175,-13.326813541489855
4200,-32.855006012001695
4225,-47.49243119051175
4249.999999999999,-54.635021677495956
4275,-52.956999560393115
4300,-42.76597337638407
4325,-25.925751023212342
4350,-5.386545074471655
4375,15.485375375693252
4399.999999999999,33.542477746151235
4425,46.291948668596206
4450,52.10202526467788
4475,50.257712976023186
4500,40.97452205856564
4524.999999999999,25.423604735427602
4550,5.727415549234706
4575,-15.18070730478064
4600,-33.926357298951075
4625,-47.29081435880255
4650,-52.90260166197902
4674.999999999999,-49.8036222999948
4700,-38.68168921903634
4725,-21.67775303109522
4750,-1.8412646906000418
4775,17.563840534295423
4800,33.67110485939543
4824.999999999999,44.387997039735524
4850,48.51689061285106
4875,45.71310358423875
4900,36.40714844781451
4925,21.767553404985506
4949.999999999999,3.6858955403714617
4974.999999999999,-15.309311581931297
5000,-32.3092928486011
5025,-44.480852033358246
5050,-49.63952570458923
5075,-46.769900594603314
5099.999999999999,-36.3088818441513
5124.999999999999,-20.080768933614195
5150,-0.8991375993795145
5175,18.032278345973396
5200,33.734327485461336
5225,43.926424010103005
5249.999999999999,47.288577678351544
5275,43.53004634489082
5300,33.33190038702435
5325,18.223588797797788
5350,0.4107861717458263
5375,-17.46753470368833
5399.999999999999,-32.678345734939285
5425,-42.8169396581369
5450,-46.240814175961304
5475,-42.4025122568587
5500,-31.975022423238897
5524.999999999999,-16.72055078733638
5549.999999999999,0.8630828136944046
5575,18.014537026093535
5600,32.17242398064752
5625,41.33307077612562
5650,44.26668875442181
5674.999999999999,40.6117453438826
5699.999999999999,30.888365672461987
5725,16.453371498640195
5750,-0.6168039077570029
5775,-17.751274122817335
5800,-32.23914572413321
5824.999999999999,-41.68415381953696
5850,-44.469813815901716
5875,-40.109628573089594
5900,-29.370673276657044
5925,-14.122258851323636
5950,3.051390260244034
5974.999999999999,19.362873721762753
6000,32.319363991348496
6025,40.09491654841452
6050,41.72823597087154
6075,37.16090020227546
6099.999999999999,27.166970319183406
6124.999999999999,13.222117931091248
6150,-2.6684347572912657
6175,-18.192476283984206
6200,-31.018419165373302
6225,-39.13811795127526
6249.999999999999,-41.21473091605219
6274.999999999999,-36.85424741332656
6300,-26.718635217492988
6325,-12.433983632703985
6350,3.694932710662215
6375,19.09658220131712
6399.999999999999,31.373893735291404
6424.999999999999,38.68255225636017
6450,39.9865158227459
6475,35.17148100389136
6500,25.026931023728935
6525,11.118250211981035
6549.999999999999,-4.432615298112864
6575,-19.24300587120956
6600,-31.01969721342482
6625,-37.921944392830255
6650,-38.875164286336826
6674.999999999999,-33.76582657176277
6699.999999999999,-23.465142124436397
6725,-9.668753911255521
6750,5.412140128473652
6775,19.43541941611977
6800,30.303814369877387
6824.999999999999,36.463405476258
6849.999999999999,37.089925632966924
6875,32.16126881792172
6900,22.433341075401472
6925,9.336756866615474
6950,-5.198106465803676
6974.999999999999,-18.986575179594638
6999.999999999999,-29.89666367840198
7025,-36.1861300014117
7050,-36.812030831731136
7075,-31.64145435931232
7099.999999999999,-21.502675587243175
7124.999999999999,-8.051460869334278
7150,6.52418305176127
7175,19.894509666574436
7200,29.98632122234517
7225,35.30851477068131
7249.999999999999,35.15327377382971
7274.999999999999,29.657836840940604
7300,19.74117230863658
7325,6.944151442944417
7350,-6.7975072497085876
7375,-19.422854150121566
7399.999999999999,-29.03429308874638
7424.999999999999,-34.17558863253669
7450,-34.060585143079834
7475,-28.70994384723633
7500,-18.961758587937652
7525,-6.344328941496542
7549.999999999999,7.1704564350374085
7574.999999999999,19.48736738179923
7600,28.72122957772615
7625,33.48489196894684
7650,33.08859888656423
7674.999999999999,27.62868682440819
7699.999999999999,17.962367915199707
7724.999999999999,5.578033793120426
7750,-7.62177162585192
7775,-19.600651472861045
7800,-28.498623389753106
7825,-32.9284297192313
7849.999999999999,-32.20719323030664
7875,-26.47634849278802
