% Model,Test Plate Transmission.mph
% Version,COMSOL 4.4.0.195
% Date,"Nov 20 2015, 12:05"
% Dimension,1
% Nodes,1001
% Expressions,1
% Description,Point graph
% Parameter,Height
0,0.0029753975556112582
24.999999999999996,0.0029753975556112582
49.99999999999999,0.010050050016794689
75,0.007880114552590436
99.99999999999999,-0.015224697298554711
125,-0.036956147396057376
150,-0.019055393136959316
175,0.03663012661875821
199.99999999999997,0.08019920296958986
225,0.06851484717716634
250,0.008851921747333723
274.99999999999994,-0.05479795523664828
300,-0.0835670729805247
325,-0.06828920639067312
350,-0.02609081320405187
375,0.01601144295756051
399.99999999999994,0.03639624087224874
425,0.027667408764783363
450,-0.002247473828363065
475,-0.03621472005188194
500,-0.05777514169264173
525,-0.05922728400240281
549.9999999999999,-0.04376392355605905
575,-0.021577678878580413
600,-0.0033456131317848906
625,0.0048298788339029165
650,0.0028522941184555574
674.9999999999999,-0.005138283463331224
700,-0.013775875295283816
725,-0.018850050915826894
750,-0.018281918285454675
775,-0.01199417014735702
799.9999999999999,-0.0013735993164866584
825,0.011235922433293478
850,0.023020950082167615
874.9999999999999,0.031358106843123096
900,0.03464328731974726
924.9999999999999,0.03296434236320489
950,0.0281760927191103
975,0.02317645289713957
1000,0.02063420052898927
1024.9999999999998,0.021626530557121198
1050,0.025344235967076665
1075,0.03013976480479162
1099.9999999999998,0.033875054204108315
1125,0.033600708470195216
1150,0.027252920207126073
1175,0.016408049170998897
1200,0.005897813601854586
1225,-9.228225780770254E-6
1250,-6.493256215468288E-4
1274.9999999999998,0.001431038724837864
1300,0.002900646871001615
1325,0.0016018076997948087
1349.9999999999998,-0.002862298151932997
1375,-0.009482406444491543
1400,-0.01657748354906375
1424.9999999999998,-0.022580984953173656
1450,-0.02661683054459636
1475,-0.028660584572986085
1500,-0.029290487807374102
1524.9999999999998,-0.02925077681766095
1550,-0.0290910349045632
1575,-0.029014610895607154
1599.9999999999998,-0.02890999687947774
1625,-0.028467830716981925
1650,-0.027309927195427876
1674.9999999999998,-0.025109604231226483
